Autorius,Pavadinimas,Metai,isbn
"Ališauskas, Arnas",Prisukama karalystė,1996,9986413982
"Bradūnas, Kazys (1917–2009)",Apie žemę ir dangų,1997,9986390141
"Lygnugarytė-Zenkevičienė, Loreta",Fosilijos širdis,2003,9986310970
"Baliukonytė, Onė (1948–2007)",Bokštai,1996,9986413613
,Poezija,1989,5415001565
,Poezija,1990,5415001573
"Marcinkevičiūtė, Tautvyda",Tauridė,1990,5415005633
"Genys, Kęstutis (1928-1996)",Po svarstyklių ženklu,1996,5415004882
"Marcinkevičius, Justinas (1930–2011)",Eilėraščiai iš dienoraščio,1994,9986408091
"Markevičius, Petras (1912–1987)",Viršukalnių aidas,1990,5415006494
"Marcinkevičius, Justinas (1930–2011)",Už gyvus ir mirusius,1988,5415003258
"Morley, Jacqueline",Pramogos,1997,9986403596
"Elliott, Jane",Mano pirmoji enciklopedija,1997,9986020522
"Le Du, Valérie",Vaikų atlasas,1998,9985200748
"Le Du, Valérie",Vaikų atlasas,1998,9985200748
"Elliott, Jane",Mano pirmoji enciklopedija,1997,9986020522
"Llewellyn, Claire",Vaikų enciklopedija,1998,9986025796
,Mikės Pūkuotuko skanėstų knyga,1995,9986220327
"Schmidt, Annie M.G. (1911-1995)",Viplala,1997,9986431328
"Červokienė, Daiva",Boružės skrydis,2003,9986816254
,Iliustruota vaikų enciklopedija,2000,9986091713
"Milčius, Leonas",Rudens žydėjime,2015,9789955488927
"Milčius, Leonas",Rudens žydėjime,2015,9789955488927
---,---,---,9789986751458
---,---,---,4771243300221
